Pot,Treatment,Ammendment,Rep,Compost,Vermiculite,Inoculum,Em.num,Start,P.Date,E.Date,cut_plants,P.Days,E.Days,Notes,Em.Count
RVB2,RVB,RV,2,None,Vermiculite,Biocrust,2,2/7/2022,,,,NA,NA,,
RVB3,RVB,RV,3,None,Vermiculite,Biocrust,2,2/7/2022,2/19/2022,2/21/2022,x,12,14,,1
RVB4,RVB,RV,4,None,Vermiculite,Biocrust,2,2/7/2022,,,,NA,NA,,
RVB5,RVB,RV,5,None,Vermiculite,Biocrust,2,2/7/2022,,2/16/2022,x,NA,9,,1
RCN1,RCN,RC,1,Compost,None,None,2,2/7/2022,,,,NA,NA,,
RCN2,RCN,RC,2,Compost,None,None,2,2/7/2022,,,,NA,NA,,
RCN3,RCN,RC,3,Compost,None,None,2,2/7/2022,,,,NA,NA,,
RCN4,RCN,RC,4,Compost,None,None,2,2/7/2022,2/19/2022,,o,12,NA,Sheet has 2 Ps,1
RCN5,RCN,RC,5,Compost,None,None,2,2/7/2022,,,,NA,NA,,
RCA1,RCA,RC,1,Compost,None,Algae,2,2/7/2022,,,,NA,NA,,
RCA2,RCA,RC,2,Compost,None,Algae,2,2/7/2022,,,,NA,NA,,
RCA3,RCA,RC,3,Compost,None,Algae,2,2/7/2022,,,,NA,NA,,
RCA4,RCA,RC,4,Compost,None,Algae,2,2/7/2022,,,,NA,NA,,
RCA5,RCA,RC,5,Compost,None,Algae,2,2/7/2022,,,,NA,NA,,
RCB1,RCB,RC,1,Compost,None,Biocrust,2,2/7/2022,,,,NA,NA,,
RCB2,RCB,RC,2,Compost,None,Biocrust,2,2/7/2022,,,,NA,NA,,
RCB3,RCB,RC,3,Compost,None,Biocrust,2,2/7/2022,,,,NA,NA,,
RCB4,RCB,RC,4,Compost,None,Biocrust,2,2/7/2022,,,,NA,NA,,
RCB5,RCB,RC,5,Compost,None,Biocrust,2,2/7/2022,,,,NA,NA,,
RSN1,RSN,RS,1,Sterile,None,None,2,2/7/2022,,,,NA,NA,,
RSN2,RSN,RS,2,Sterile,None,None,2,2/7/2022,,,,NA,NA,,
RSN3,RSN,RS,3,Sterile,None,None,2,2/7/2022,,,,NA,NA,,
RSN4,RSN,RS,4,Sterile,None,None,2,2/7/2022,,,,NA,NA,,
RSN5,RSN,RS,5,Sterile,None,None,2,2/7/2022,,,,NA,NA,,
RSA1,RSA,RS,1,Sterile,None,Algae,2,2/7/2022,,,,NA,NA,,
RSA2,RSA,RS,2,Sterile,None,Algae,2,2/7/2022,,,,NA,NA,,
RSA3,RSA,RS,3,Sterile,None,Algae,2,2/7/2022,,,,NA,NA,,
RSA4,RSA,RS,4,Sterile,None,Algae,2,2/7/2022,,,,NA,NA,,
